100000.00,0,0.00,0.00,Withdraw
100000.00,0,0.00,0.00,Incomplete
150000.00,0,0.00,0.00,Incomplete
900999.00,0,132.00,0.00,Withdraw
300000.00,0,10000.00,0.00,Withdraw
100000.00,0,0.00,0.00,Declined PreSubmit
100000.00,0,0.00,0.00,Approved
0.00,0,0.00,0.00,Incomplete
150000.00,0,0.00,0.00,Withdraw
0.00,0,0.00,0.00,Incomplete
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
150000.00,0,0.00,0.00,Withdraw
0.00,0,0.00,0.00,Incomplete
100000.00,0,0.00,0.00,Approved
150000.00,0,20000.00,0.00,Withdraw
100000.00,0,0.00,0.00,Withdraw
100000.00,0,0.00,0.00,Withdraw
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Incomplete
150000.00,0,0.00,0.00,Withdraw
150000.00,0,20000.00,0.00,Withdraw
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
400000.00,0,50000.00,0.00,Withdraw
150000.00,0,20000.00,0.00,Withdraw
150000.00,0,0.00,0.00,Withdraw
200000.00,0,16000.00,0.00,Withdraw
100000.00,0,0.00,0.00,Error
100000.00,0,0.00,0.00,Approved
200000.00,0,50000.00,0.00,Withdraw
100000.00,0,0.00,0.00,Approved
400000.00,0,100000.00,0.00,Declined PreSubmit
400000.00,0,0.00,0.00,Declined PreSubmit
100000.00,0,0.00,0.00,Approved
1000000.00,0,0.00,0.00,Withdraw
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
400000.00,0,15000.00,0.00,Declined PreSubmit
500000.00,0,20000.00,0.00,Withdraw
400000.00,0,20000.00,0.00,Withdraw
150000.00,0,20000.00,0.00,Withdraw
400000.00,0,20000.00,0.00,Withdraw
400000.00,0,0.00,0.00,Withdraw
400000.00,0,0.00,0.00,Withdraw
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Withdraw
100000.00,0,0.00,0.00,Incomplete
100000.00,0,0.00,0.00,Approved
400000.00,0,0.00,0.00,Withdraw
400000.00,0,20000.00,0.00,Withdraw
200000.00,0,15000.00,0.00,Withdraw
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
400000.00,0,10000.00,0.00,Incomplete
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
200000.00,0,10000.00,0.00,Approved
100000.00,0,0.00,0.00,Approved
200000.00,0,10000.00,0.00,Approved
100000.00,0,0.00,0.00,Declined PreSubmit
100000.00,0,0.00,0.00,Declined PreSubmit
100000.00,0,0.00,0.00,Approved
100000.00,0,0.00,0.00,Settled
